path_no,o_zone_id,d_zone_id,node_sequence,link_sequence,geometry,Path_Flows
27,1,16,1;3;4;5;9;8;7;18;16;,2;6;9;13;24;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",328.0789794921875
28,1,17,1;3;4;11;10;17;,2;6;10;32;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.711382 43.541280)",75.9473648071289
29,1,17,1;3;4;5;9;10;17;,2;6;9;13;25;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",55.1361198425293
30,1,17,1;2;6;8;16;17;,1;4;16;22;49;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280)",268.91650390625
31,1,18,1;2;6;8;7;18;,1;4;16;20;18;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",91.81573486328125
32,1,18,1;3;4;5;9;8;7;18;,2;6;9;13;24;20;18;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",77.4187240600586
33,1,18,1;2;6;8;16;18;,1;4;16;22;50;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)",0.0
34,1,19,1;3;4;11;10;15;19;,2;6;10;32;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",0.6316738724708557
35,1,19,1;3;4;5;9;10;15;19;,2;6;9;13;25;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",67.81102752685547
36,1,19,1;2;6;8;16;17;19;,1;4;16;22;49;53;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",75.11676788330078
37,1,19,1;3;12;11;14;15;19;,2;7;36;34;41;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",156.44052124023438
38,1,20,1;2;6;8;7;18;20;,1;4;16;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",60.86147689819336
39,1,20,1;3;4;5;9;8;7;18;20;,2;6;9;13;24;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",84.21305084228516
40,1,20,1;2;6;8;16;18;20;,1;4;16;22;50;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",97.9271011352539
41,1,20,1;3;4;5;9;10;15;19;20;,2;6;9;13;25;28;45;59;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",56.998382568359375
42,1,21,1;3;12;13;24;21;,2;7;37;39;75;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485)",81.56918334960938
43,1,21,1;3;4;5;9;10;15;19;20;21;,2;6;9;13;25;28;45;59;62;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.730979 43.510485)",18.430816650390625
44,1,22,1;3;12;11;14;15;22;,2;7;36;34;41;46;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",15.775158882141113
45,1,22,1;3;12;13;24;21;22;,2;7;37;39;75;65;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858)",88.53841400146484
46,1,22,1;3;12;13;24;23;22;,2;7;37;39;76;72;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858)",295.6864318847656
47,1,23,1;3;12;11;14;23;,2;7;36;34;42;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858)",70.39022827148438
48,1,23,1;3;12;13;24;23;,2;7;37;39;76;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858)",229.60977172851562
49,1,24,1;3;12;13;24;,2;7;37;39;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164)",100.0
50,2,3,2;1;3;,3;2;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962)",100.0
51,2,4,2;1;3;4;,3;2;6;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",8.677996635437012
52,2,4,2;6;5;4;,4;15;11;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654)",191.32200622558594
53,2,5,2;1;3;4;5;,3;2;6;9;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",83.3966293334961
54,2,5,2;6;5;,4;15;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034)",16.603370666503906
55,2,7,2;6;8;7;,4;16;20;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",9.320396423339844
56,2,7,2;1;3;4;5;9;8;7;,3;2;6;9;13;24;20;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",51.88224792480469
57,2,7,2;6;8;16;18;7;,4;16;22;50;54;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",138.79736328125
58,2,8,2;6;8;,4;16;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",95.9813003540039
59,2,8,2;1;3;4;5;9;8;,3;2;6;9;13;24;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",304.0187072753906
60,2,9,2;1;3;4;5;9;,3;2;6;9;13;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",78.58179473876953
61,2,9,2;6;5;9;,4;15;13;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596)",121.41820526123047
62,2,10,2;1;3;4;11;10;,3;2;6;10;32;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)",18.29447364807129
63,2,10,2;1;3;4;5;9;10;,3;2;6;9;13;25;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)",58.23670959472656
64,2,10,2;6;5;9;10;,4;15;13;25;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)",99.50174713134766
65,2,10,2;1;3;12;11;10;,3;2;7;36;32;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)",93.13990020751953
66,2,10,2;6;8;16;10;,4;16;22;48;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.731438 43.545271)",330.8271789550781
67,2,11,2;1;3;4;11;,3;2;6;10;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)",67.04005432128906
68,2,11,2;6;5;4;11;,4;15;11;10;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)",38.382415771484375
69,2,11,2;1;3;12;11;,3;2;7;36;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",94.57752990722656
70,2,12,2;1;3;12;,3;2;7;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)",100.0
71,2,13,2;1;3;12;13;,3;2;7;37;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",300.0
72,2,14,2;1;3;4;11;14;,3;2;6;10;34;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",43.71805191040039
73,2,14,2;6;5;4;11;14;,4;15;11;10;34;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",5.091437339782715
74,2,14,2;1;3;12;11;14;,3;2;7;36;34;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)",4.17967414855957
75,2,14,2;1;3;12;13;24;23;14;,3;2;7;37;39;76;71;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.751035 43.529306)",47.010833740234375
76,2,15,2;1;3;4;11;10;15;,3;2;6;10;32;28;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401)",66.03271484375
77,2,15,2;1;3;4;5;9;10;15;,3;2;6;9;13;25;28;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)",55.22832489013672
78,2,15,2;6;5;9;10;15;,4;15;13;25;28;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)",53.67818832397461
79,2,15,2;1;3;12;11;14;15;,3;2;7;36;34;41;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",37.72018051147461
80,2,15,2;6;8;16;17;19;15;,4;16;22;49;53;57;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401)",7.439452171325684
81,2,15,2;6;8;7;18;20;21;22;15;,4;16;20;18;56;62;65;67;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401)",0.0
82,2,16,2;6;8;16;,4;16;22;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744)",89.10924530029297
83,2,16,2;6;8;7;18;16;,4;16;20;18;55;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",34.20082092285156
84,2,16,2;1;3;4;5;9;8;7;18;16;,3;2;6;9;13;24;20;18;55;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",276.68994140625
85,2,17,2;1;3;4;5;9;10;17;,3;2;6;9;13;25;30;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",35.71318817138672
86,2,17,2;6;5;9;10;17;,4;15;13;25;30;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",26.0235538482666
87,2,17,2;6;8;16;17;,4;16;22;49;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280)",20.793636322021484
88,2,17,2;6;8;7;18;16;17;,4;16;20;18;55;49;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280)",117.46961975097656
89,2,19,2;1;3;4;11;10;15;19;,3;2;6;10;32;28;45;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",43.223785400390625
90,2,19,2;1;3;4;5;9;10;15;19;,3;2;6;9;13;25;28;45;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",90.50706481933594
91,2,19,2;6;5;9;10;15;19;,4;15;13;25;28;45;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",89.91547393798828
92,2,19,2;6;8;16;17;19;,4;16;22;49;53;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",57.20032501220703
93,2,19,2;6;8;7;18;20;19;,4;16;20;18;56;61;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.711316 43.529591)",76.19022369384766
94,2,19,2;6;8;16;18;20;19;,4;16;22;50;56;61;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333, -96.711316 43.529591)",68.43193817138672
95,2,19,2;6;8;7;18;20;21;22;15;19;,4;16;20;18;56;62;65;67;45;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",0.0
96,2,20,2;6;8;7;18;20;,4;16;20;18;56;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",63.687110900878906
97,2,20,2;6;8;16;18;20;,4;16;22;50;56;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",87.69157409667969
98,2,20,2;1;3;4;5;9;10;15;19;20;,3;2;6;9;13;25;28;45;59;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",0.0
99,2,22,2;1;3;12;11;14;15;22;,3;2;7;36;34;41;46;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",82.93644714355469
100,2,22,2;6;8;7;18;20;22;,4;16;20;18;56;63;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858)",35.07176208496094
101,2,22,2;1;3;12;13;24;21;22;,3;2;7;37;39;75;65;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858)",74.93755340576172
102,2,22,2;1;3;12;13;24;23;22;,3;2;7;37;39;76;72;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858)",22.278451919555664
103,2,22,2;6;8;7;18;20;21;22;,4;16;20;18;56;62;65;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858)",0.0
104,3,2,3;1;2;,5;1;,"LINESTRING (-96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",100.0
105,3,5,3;4;5;,6;9;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",100.0
106,3,6,3;1;2;6;,5;1;4;,"LINESTRING (-96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",36.998069763183594
107,3,6,3;4;5;6;,6;9;12;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",263.0019226074219
108,3,7,3;1;2;6;8;7;,5;1;4;16;20;,"LINESTRING (-96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",46.23442077636719
109,3,7,3;4;5;6;8;7;,6;9;12;16;20;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",25.306690216064453
110,3,7,3;4;5;9;8;7;,6;9;13;24;20;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",36.379188537597656
111,3,7,3;1;2;6;8;16;18;7;,5;1;4;16;22;50;54;,"LINESTRING (-96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",0.0
112,3,8,3;1;2;6;8;,5;1;4;16;,"LINESTRING (-96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",77.82110595703125
113,3,8,3;4;5;6;8;,6;9;12;16;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324)",19.624862670898438
114,3,8,3;4;5;9;8;,6;9;13;24;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",102.55403137207031
115,3,9,3;4;5;9;,6;9;13;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",65.46669006347656
116,3,9,3;12;11;10;9;,7;36;32;26;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",34.53330993652344
117,3,10,3;4;11;10;,6;10;32;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)",89.82527923583984
118,3,10,3;4;5;9;10;,6;9;13;25;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)",24.879030227661133
119,3,10,3;12;11;10;,7;36;32;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)",185.29568481445312
120,3,11,3;4;11;,6;10;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)",84.3344497680664
121,3,11,3;12;11;,7;36;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",215.66555786132812
122,3,13,3;12;13;,7;37;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",100.0
123,3,14,3;4;11;14;,6;10;34;,"LINESTRING (-96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",92.15532684326172
124,3,14,3;12;11;14;,7;36;34;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)",18.242216110229492
125,3,14,3;12;13;24;23;14;,7;37;39;76;71;,"LINESTRING (-96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.751035 43.529306)",0.0
