link_id,from_node_id,to_node_id,distance_km,distance_mile,fftt,vehicle_volume,ref_volume,ref_diff,background_volume,travel_time,speed_kmph,speed_mph
23,9,5,0.005,0.003108,0.005,16954.404,15636.311,1318.093,0,0.011,3,1.865
24,9,8,0.01,0.006215,0.01,7133.604,7156.641,-23.037,0,0.016,6,3.729
25,9,10,0.003,0.001865,0.003,23215.24,21936.92,1278.32,0,0.006,1.8,1.119
26,10,9,0.003,0.001865,0.003,23362.818,21903.76,1459.058,0,0.007,1.8,1.119
27,10,11,0.005,0.003108,0.005,17296.094,17616.918,-320.824,0,0.012,3,1.865
28,10,15,0.006,0.003729,0.006,23044.506,22471.785,572.721,0,0.014,3.6,2.237
29,10,16,0.004,0.002486,0.004,11638.99,11370.813,268.177,0,0.024,2.4,1.492
30,10,17,0.008,0.004972,0.008,7675.937,8099.999,-424.062,0,0.015,4.8,2.983
31,11,4,0.006,0.003729,0.006,6926.092,5449.17,1476.922,0,0.01,3.6,2.237
32,11,10,0.005,0.003108,0.005,17400.725,17464.998,-64.273,0,0.012,3,1.865
33,11,12,0.006,0.003729,0.006,8142.389,8377.522,-235.133,0,0.013,3.6,2.237
34,11,14,0.004,0.002486,0.004,9760.931,9587.549,173.382,0,0.014,2.4,1.492
35,12,3,0.004,0.002486,0.004,14548.296,10279.792,4268.504,0,0.004,2.4,1.492
36,12,11,0.006,0.003729,0.006,8067.148,8460.422,-393.274,0,0.013,3.6,2.237
37,12,13,0.003,0.001865,0.003,15025.723,13227.405,1798.318,0,0.003,1.8,1.119
38,13,12,0.003,0.001865,0.003,15060.858,13316.306,1744.552,0,0.003,1.8,1.119
39,13,24,0.004,0.002486,0.004,11292.468,10975.704,316.764,0,0.019,2.4,1.492
40,14,11,0.004,0.002486,0.004,10080.673,9661.071,419.602,0,0.015,2.4,1.492
41,14,15,0.005,0.003108,0.005,8704.213,8967.315,-263.102,0,0.011,3,1.865
42,14,23,0.004,0.002486,0.004,8286.504,8224.451,62.053,0,0.009,2.4,1.492
43,15,10,0.006,0.003729,0.006,22708.707,22484.834,223.873,0,0.013,3.6,2.237
44,15,14,0.005,0.003108,0.005,8906.673,9041.501,-134.828,0,0.012,3,1.865
45,15,19,0.003,0.001865,0.003,19300.461,17955.973,1344.488,0,0.004,1.8,1.119
46,15,22,0.003,0.001865,0.003,18546.986,18078.322,468.664,0,0.009,1.8,1.119
47,16,8,0.005,0.003108,0.005,8310.887,8596.646,-285.759,0,0.011,3,1.865
48,16,10,0.004,0.002486,0.004,11652.23,11376.53,275.7,0,0.024,2.4,1.492
49,16,17,0.002,0.001243,0.002,11950.284,10895.549,1054.735,0,0.01,1.2,0.746
50,16,18,0.003,0.001865,0.003,19310.195,16700.59,2609.605,0,0.003,1.8,1.119
51,17,10,0.008,0.004972,0.008,7941.441,8099.999,-158.558,0,0.016,4.8,2.983
52,17,16,0.002,0.001243,0.002,11873.848,10905.318,968.53,0,0.01,1.2,0.746
53,17,19,0.002,0.001243,0.002,10160.783,9948.753,212.03,0,0.008,1.2,0.746
54,18,7,0.002,0.001243,0.002,16227.843,15708.296,519.547,0,0.002,1.2,0.746
55,18,16,0.003,0.001865,0.003,19508.209,16727.611,2780.598,0,0.003,1.8,1.119
56,18,20,0.004,0.002486,0.004,19090.123,20692.295,-1602.172,0,0.004,2.4,1.492
57,19,15,0.003,0.001865,0.003,19056.168,17964.596,1091.572,0,0.004,1.8,1.119
58,19,17,0.002,0.001243,0.002,10349.853,9958.525,391.328,0,0.008,1.2,0.746
59,19,20,0.004,0.002486,0.004,9028.006,7899.545,1128.461,0,0.01,2.4,1.492
60,20,18,0.004,0.002486,0.004,19081.975,20707.057,-1625.082,0,0.004,2.4,1.492
61,20,19,0.004,0.002486,0.004,8972.783,7917.937,1054.846,0,0.01,2.4,1.492
62,20,21,0.006,0.003729,0.006,7064.141,6445.915,618.226,0,0.009,3.6,2.237
63,20,22,0.005,0.003108,0.005,7671.18,7000,671.18,0,0.009,3,1.865
64,21,20,0.006,0.003729,0.006,7062.168,6379.069,683.099,0,0.009,3.6,2.237
65,21,22,0.002,0.001243,0.002,9644.753,8315.617,1329.136,0,0.005,1.2,0.746
66,21,24,0.003,0.001865,0.003,10340.248,10299.105,41.143,0,0.012,1.8,1.119
67,22,15,0.003,0.001865,0.003,18557.938,18056.934,501.004,0,0.009,1.8,1.119
68,22,20,0.005,0.003108,0.005,7509.782,7000,509.782,0,0.009,3,1.865
69,22,21,0.002,0.001243,0.002,9940.321,8299.461,1640.86,0,0.006,1.2,0.746
70,22,23,0.004,0.002486,0.004,9113.483,9604.388,-490.905,0,0.011,2.4,1.492
71,23,14,0.004,0.002486,0.004,8403.787,8223.786,180.001,0,0.009,2.4,1.492
72,23,22,0.004,0.002486,0.004,9258.605,9566.843,-308.238,0,0.011,2.4,1.492
73,23,24,0.002,0.001243,0.002,8702.87,7742.693,960.177,0,0.005,1.2,0.746
74,24,13,0.004,0.002486,0.004,11227.604,10964.604,263,0,0.018,2.4,1.492
75,24,21,0.003,0.001865,0.003,10042.706,10248.417,-205.711,0,0.011,1.8,1.119
76,24,23,0.002,0.001243,0.002,8965.275,7704.481,1260.794,0,0.005,1.2,0.746
